23902.216310    0.08998	5120150611051129172303624313932787365101910072001661182 087741+1566210642a0707
23902.223310   -0.06897	5120150611052133578039124291943155173401910108001493314 087741+1596410642a0709
23902.233480   -0.03534	5120150611053612365182224269287834767001910052001299338 087741+1646410642a0647
23902.241330    0.08293	5120150611054731031803024262290436143201910086001485341 087738+1686210642a0644
23902.250490    0.07129	5120150611060042280341324292559498065101910122001093349 087734+1706210642a0676
23902.258590   -0.07648	5120150611061222371901624272951404950401910104001434425 087734+1726010642a0669
23902.268820   -0.04141	5120150611062705984831224254227100206001910046001538231 087740+1735810642a0661
23902.276660    0.08597	5120150611063823104629824250192214075201910108001222583 087740+1765610642a0675
23902.284920   -0.00161	5120150611065016756146924254164531767301910080002778048 087751+1795210642a0690
23902.296070    0.08444	5120150611070620161460324284315005638101910061001364220 087765+1824910642a0558
23902.303060   -0.07915	5120150611071624306964524268979593611401910021001719145 087758+1845010642a0498
23902.337290    0.04470	5120150611080541856656724267457233629301910010002423031 087770+1895010642a0644
23902.358040   -0.10357	5120150611083534748883924295056523597401910014002203041 087770+1895710642a0649
23902.364190   -0.00713	5120150611084425875474824286119160682301910020002325022 087767+1885510642a0640
23902.373680    0.07890	5120150611085805607955924324221366646101910011001074081 087760+1915710642a0379
23902.381450   -0.05684	5120150611090917550237824300124571484001910017001152077 087760+1925710642a0599
23902.393880    0.07714	5120150611092710933115124310339872278201910027001737074 087759+1935510642a0577
23902.403450   -0.00717	5120150611094058160887824326527595314301910021002872037 087766+1935510642a0534
23915.668040   -0.01369	5120150624160158330710626550706026725301910052002413045 087797+1645310642a0684
23915.675970   -0.08501	5120150624161323532063826559616230398401910057001543054 087800+1625610642a0682
23915.684820    0.10339	5120150624162608123166126565873743685101910071001160210 087796+1605710642a0662
23915.695980   -0.06261	5120150624164212568542826529842999086001910042002157036 087809+1566110642a0707
23915.854010   -0.02973	5120150624202946676223026582966836448301910046002882080 087982+1284810642a0671
23915.873360    0.01995	5120150624205738599425426606725062442301910042002221095 088000+1264610642a0495
23918.797040   -0.04275	5120150627190743831133525971921929268301910027003080016 087639+1984610642a0562
23918.813910    0.11364	5120150627193202199204725987955936464101910017001691043 087638+2004410642a0627
23918.828900   -0.00220	5120150627195336581529325956540577154301910102002842074 087651+1974410642a0694
23918.843100    0.10413	5120150627201404159996425978764488148101910025001158145 087654+1964410642a0631
23918.914150   -0.03783	5120150627215622453556925970197371212301910028002762023 087641+1834710642a0591
23927.075470    0.05854	5120150706014840693314124140526536659301910096002127095 088071+2035010642a0667
23927.156190   -0.07158	5120150706034455095316124120770585015001910024002217034 088061+1905610642a0596
23927.163800    0.03884	5120150706035552021854624127270873267301910038002339020 088066+1925610642a0664
23927.186880    0.04065	5120150706042906831277724138306997912301910029003747007 088072+2015310642a0615
23927.211620    0.04802	5120150706050443821422624156498235416301910110001758087 088080+2105310642a0681
23927.218580   -0.04579	5120150706051445384091324177618949717401910034001812058 088084+2145210642a0640
23927.231700    0.00836	5120150706053338544619224175831105696301910071002975035 088077+2215610642a0637
23927.239110    0.11201	5120150706054419078895124174592503938201910039001888034 088082+2265210642a0640
23927.265000    0.02216	5120150706062136422032124216074356083301910093002247074 088103+2376210642a0694
23929.103210   -0.04756	5120150708022837749896824286215376793401910027001995730 087454+2204010642a0639
23929.121200    0.02660	5120150708025431586597924257091524906301910035002771034 087432+2174610642a0628
23929.131880   -0.02288	5120150708030954862990724245693707270001910019001972076 087421+2204710642a0572
23929.141970   -0.06083	5120150708032426501954524254796588491401910080001480632 087421+2194910642a0658
23929.149930    0.00948	5120150708033553968992024237529996988301910038002416049 087416+2175010642a0668
23929.167980   -0.00228	5120150708040153617061424229771044004301910067002706057 087401+2145210642a0667
23929.176230   -0.05487	5120150708041346395099824224392453879001910026001948038 087402+2165010642a0602
23929.183730   -0.06103	5120150708042434398903324238792917673401910068001949112 087392+2194910642a0683
23929.194560    0.09654	5120150708044010208643124220791733759201910032001482053 087390+2195010642a0614
23929.203150    0.09321	5120150708045232112000224256258915228101910054001744072 087389+2205110642a0663
23929.212030    0.03045	5120150708050519420487124226271953320301910058002152036 087384+2225010642a0649
23929.222070   -0.03277	5120150708051946887801724225631489218001910060001758096 087388+2274910642a0659
23929.228800    0.07450	5120150708052928011221724226487779516201910083001895109 087394+2304610642a0673
